"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","940","Проверка получения списка заказов с указанием текущей страницы","tests","Tue Apr 08 11:39:09 MSK 2025","passed","Tue Apr 08 11:39:10 MSK 2025","TestGetOrderList","test_get_order_list","",""
"","1263","Проверка получения списка заказов с указанием лимита","tests","Tue Apr 08 11:39:08 MSK 2025","passed","Tue Apr 08 11:39:09 MSK 2025","TestGetOrderList","test_get_order_list","",""
"","1007","Проверка невозможности создания курьера с зарегистрированными логином","tests","Tue Apr 08 11:39:07 MSK 2025","passed","Tue Apr 08 11:39:08 MSK 2025","TestCreateCourier","test_create_courier","",""
"","346","Проверка создания заказа","tests","Tue Apr 08 11:39:05 MSK 2025","passed","Tue Apr 08 11:39:05 MSK 2025","TestCreateAnOrder","test_create_an_order","",""
"","110","Проверка невозможности создания курьера с недостаточными данными","tests","Tue Apr 08 11:39:07 MSK 2025","passed","Tue Apr 08 11:39:07 MSK 2025","TestCreateCourier","test_create_courier","",""
"","60129","Проверка невозможности авторизации курьера без пароля","tests","Tue Apr 08 11:39:11 MSK 2025","broken","Tue Apr 08 11:40:12 MSK 2025","TestLoginCourier","test_login_courier","",""
"","208","Проверка получения списка заказов по фильтру станций метро","tests","Tue Apr 08 11:39:08 MSK 2025","passed","Tue Apr 08 11:39:08 MSK 2025","TestGetOrderList","test_get_order_list","",""
"","434","Проверка создания нового курьера с правильными данными","tests","Tue Apr 08 11:39:05 MSK 2025","passed","Tue Apr 08 11:39:06 MSK 2025","TestCreateCourier","test_create_courier","",""
"","411","Проверка невозможности авторизации курьера с неправильным паролем","tests","Tue Apr 08 11:40:13 MSK 2025","passed","Tue Apr 08 11:40:13 MSK 2025","TestLoginCourier","test_login_courier","",""
"","273","Проверка авторизации курьера","tests","Tue Apr 08 11:39:10 MSK 2025","passed","Tue Apr 08 11:39:10 MSK 2025","TestLoginCourier","test_login_courier","",""
"","149","Проверка создания заказа","tests","Tue Apr 08 11:39:05 MSK 2025","passed","Tue Apr 08 11:39:05 MSK 2025","TestCreateAnOrder","test_create_an_order","",""
"","132","Проверка создания заказа","tests","Tue Apr 08 11:39:05 MSK 2025","passed","Tue Apr 08 11:39:05 MSK 2025","TestCreateAnOrder","test_create_an_order","",""
"","734","Проверка невозможности авторизации курьера без логина","tests","Tue Apr 08 11:39:11 MSK 2025","passed","Tue Apr 08 11:39:11 MSK 2025","TestLoginCourier","test_login_courier","",""
"","119","Проверка невозможности создания курьера с недостаточными данными","tests","Tue Apr 08 11:39:06 MSK 2025","passed","Tue Apr 08 11:39:07 MSK 2025","TestCreateCourier","test_create_courier","",""
"","523","Проверка невозможности создания уже существующего курьера","tests","Tue Apr 08 11:39:06 MSK 2025","passed","Tue Apr 08 11:39:06 MSK 2025","TestCreateCourier","test_create_courier","",""
"","156","Проверка создания заказа","tests","Tue Apr 08 11:39:05 MSK 2025","passed","Tue Apr 08 11:39:05 MSK 2025","TestCreateAnOrder","test_create_an_order","",""
"","478","Проверка невозможности авторизации курьера с неправильным логином","tests","Tue Apr 08 11:40:12 MSK 2025","passed","Tue Apr 08 11:40:12 MSK 2025","TestLoginCourier","test_login_courier","",""
